Year,League,Team,Wins,Losses,Win_Pct
75,,36,30,,32
162,,89,69,,89
162,,84,50,,104
162,,74,60,,101
162,,52,86,,88
60,,25,36,,35
162,,85,97,,97
163,,82,97,,90
162,,93,75,,72
162,,69,69,,68
162,,79,68,,67
162,,64,88,,79
163,,81,96,,96
162,,81,94,,94
162,,94,74,,89
162,,65,81,,91
163,,70,75,,86
163,,82,75,,72
163,,90,76,,84
162,,76,93,,79
162,,77,88,,90
162,,51,91,,96
162,,84,96,,101
162,,98,103,,101
162,,92,102,,88
162,,85,91,,95
163,,100,87,,103
163,,65,74,,106
162,,,65,,101
162,,,78,,96
145,,,67,,90
117,,,51,,68
162,,,68,,104
162,,,96,,98
162,,,84,,94
162,,,103,,65
162,,,99,,63
162,,,104,,54
162,,,81,,69
162,,,76,,72
162,,,77,,66
162,,,77,,80
162,,,74,,88
162,,,68,,89
111,,,64,,50
163,,,83,,81
162,,,54,,66
163,,,69,,69
162,,,63,,61
162,,,87,,70
162,,,98,,67
162,,,90,,88
162,,,94,,76
156,,,93,,70
162,,,101,,82
162,,,89,,76
162,,,88,,93
162,,,82,,81
162,,,62,,77
162,,,74,,85
162,,,59,,86
162,,,57,,88
162,,,73,,84
165,,,72,,86
162,,,61,,83
154,,,58,,88
156,,,66,,86
154,,,73,,92
154,,,59,,95
154,,,52,,92
154,,,63,,85
154,,,51,,89
154,,,59,,92
154,,,79,,64
157,,,70,,76
154,,,52,,83
154,,,81,,75
155,,,84,,91
154,,,78,,86
156,,,49,,81
154,,,52,,67
154,,,72,,65
154,,,49,,68
154,,,55,,59
154,,,64,,62
154,,,54,,65
154,,,55,6,63
154,,,53,32,77
154,,,54,,79
154,,,53,,71
154,,,58,,38
154,,,68,,78
154,3,,79,,83
154,,,94,6,77
154,,,107,,64
154,,,102,,70
154,,,104,,56
154,,,98,,50
154,,,91,,60
154,,,83,,66
154,,,88,,70
154,,,71,,53
154,,,69,,54
154,,,65,,53
154,,,53,,79
154,,,48,,62
140,,,36,,57
129,,,52,,53
154,,,55,,72
154,,,36,,89
154,,,43,,83
154,,,99,,94
154,,,96,,69
154,,,90,,52
154,,,101,,44
154,,,102,,53
153,,,95,,45
154,,,68,,63
154,,,88,,58
154,,,78,,49
154,,,92,,51
154,,,81,,55
140,,,75,,58
140,,,83,,73
140,,,74,,69
